word,freq,colour
sigh,2,no
simplicity,2,no
simplification,2,no
sites,2,no
slam,2,no
snapcircuit,2,no
somebody,2,no
sometime,2,no
songs,2,no
soo,2,no
sounded,2,no
spans,2,no
spatial,2,no
specifically,2,no
sports,2,no
spurred,2,no
stages,2,no
standard,2,no
staple,2,no
states,2,no
stays,2,no
stepped,2,no
stick,2,no
stored,2,no
stores,2,no
strength,2,no
stretch,2,no
stretches,2,no
suggestion,2,no
surprises,2,no
switching,2,no
symbols,2,no
tablets,2,no
tap,2,no
tear,2,no
tearing,2,no
techy,2,no
teen,2,no
teenagers,2,no
telling,2,no
textbooks,2,no
theories,2,no
theyve,2,no
thinker,2,no
throughout,2,no
throw,2,no
thrown,2,no
thus,2,no
timeless,2,no
tinkerer,2,no
tire,2,no
tore,2,no
total,2,no
touched,2,no
toward,2,no
traditional,2,no
training,2,no
transistors,2,no
travels,2,no
tricks,2,no
tween,2,no
twenty,2,no
tying,2,no
typically,2,no
university,2,no
unused,2,no
unwrapping,2,no
upcoming,2,no
update,2,no
vacuum,2,no
variable,2,no
variation,2,no
vary,2,no
ver,2,no
via,2,no
visiting,2,no
visits,2,no
visuals,2,no
voice,2,no
voltage,2,no
waited,2,no
walked,2,no
warehouse,2,no
whoever,2,no
wired,2,no
woke,2,no
wondered,2,no
wondering,2,no
wrapped,2,no
write,2,no
youd,2,no
youngest,2,no
